id,FirstName,LastName,Email,Password_Hash,UserType,Status,Balance,Rating,Rating_Count,Last_Warning_Count,Note
1,q,q,q@aq,pbkdf2:sha256:50000$Q2pVijGp$ec703787ad261013d29eda470a442adbb0b737fd805b2dbdb1454a54d6da13a2,Client,Rejected,100000000,,,,eqw
2,a,a,a@a,pbkdf2:sha256:50000$jSSNjCP1$21d2afa7cbb9858005c099b69a7b791fd714f4679b2abf3d85561b6560989dda,Client,Rejected,0,,,,nonono
3,b,b,b@b,pbkdf2:sha256:50000$SAZEEUkV$a25209d2f6942b90c65d14ad185c0698a1ae7e2e683fc46fa8b782081435cc68,Client,Rejected,0,,,,
4,c,c,c@c,pbkdf2:sha256:50000$ParCKjXr$558f1182f9cd85318e85cb7cb4ff8284d55585abc3e9f682cb7518648de03310,Developer,Normal,100007245.0,0,0,0,0,No notes at this time.
5,d,d,d@d,pbkdf2:sha256:50000$zm8vDNTY$9b42391923daf53ebe293ae774da2110397af87ab61091d97be6687f666bf7b6,Client,Normal,99962850.0,0,0,,No notes at this time.
6,e,e,e@e,pbkdf2:sha256:50000$Yvyekizj$3b326f6efa6eb3fcab4810832f4be5debf9f1ed7b9f81bda7f05cde0f6683ad6,Client,Rejected,0,,,,Ok... Not great though
7,aaaa,bbbb,aaa@aaa.com,pbkdf2:sha256:50000$OItJW9PB$346286485277b8c024bad8219b5a67cb155c4fdf16ecf02831266aa1466105b4,Client,Rejected,0,,,,qeq wq qeq
8,a,b,c@d,pbkdf2:sha256:50000$z5TBvRGE$a298787badf46d3170a8ded68c50238cc80f8b8b4ddc469c08557c48753fe13d,Developer,Normal,0,,,,This won't break
9,t,v,a@b,pbkdf2:sha256:50000$lGZx1RTg$8728029810347be0f31d1d6571724d29fb153af3d8e4908d107c91542c066055,Client,Temporary,0,0,,,0
10,Admin,Root,admin@admin,pbkdf2:sha256:50000$lJS3VDfB$d939209a35ab640b2278c44a1134e70383c2f6c46ec9ad964a05417af5bb0003,Admin,Accepted,0,0,,,0
11,p,t,pt@pt,pbkdf2:sha256:50000$zTzufV8l$baa7dcf564be167c04c77630f756e0412068da308bc1405f3ab8c79639abdd1c,Client,Temporary,100000000,0,0,,
12,James,Wong,james@wong,pbkdf2:sha256:50000$ybuYqJMa$d94dfd4d0128ed70790e6de0881311390c485d27aa3d5fac9efdbfe0e3a90260,Developer,Rejected,100000000,0,0,,Needs new name
13,James,Wong,james@james,pbkdf2:sha256:50000$U4sosPUC$03488ea7cc71d42f1edfec1fa242abe28d14b34ee5ec7fe7eb5f4515fb2c3284,Developer,Normal,100001350.0,1,1	,,
13,f,f,f@f,pbkdf2:sha256:50000$I6PWXREo$fff11d15241737dd9704fba1f0a477bb9ceef998724a9b0cc7b0314ed78f76ff,Developer,Normal,0,0,0,0,0,No notes at this time.14,c,d,q@w,pbkdf2:sha256:50000$R6sRPgsx$68aa655141ebbcf133e13b496b369d367016564d5ac14cc05cd775fd670b2198,Client,Temporary,0,0,0,0,No notes at this time.
